instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
2262,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6658171713352203,0.2767602801322937,0.6454028288523356,0.522091676791509,0.6437258124351501,0.6001836061477661,0,1,0.0,0.3234233260154724
2263,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6687271296977997,0.2743447870016098,0.6475419799486796,0.5321185688177744,0.6464652717113495,0.6107568740844727,0,1,0.0,0.3364120870828628
2264,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5966520011425018,0.4417476654052734,0.5882223645846049,0.5234173834323883,0.5149679481983185,0.5585554242134094,0,1,0.0,0.1168077588081359
2265,rotate_down,0,0,0,0,0,1,1,0,0,0,0.599108874797821,0.4452759027481079,0.5930207769076029,0.6023341019948324,0.5917353332042694,0.6024958491325378,0,1,0.0,0.1572199463844299
2266,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5957837402820587,0.4410862922668457,0.5926610032717387,0.5149316589037577,0.5908607840538025,0.6097221970558167,0,1,0.0,0.1686359047889709
2267,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6010983884334564,0.4451689571142196,0.598443607489268,0.5639834801355997,0.5962038636207581,0.6106016039848328,0,1,0.0,0.1654326468706131
2268,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6012540459632874,0.4378548860549927,0.5930451353391012,0.5694479048252106,0.5152556598186493,0.5679545402526855,0,1,0.0,0.1300996541976928
2269,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3180332630872726,0.4467502981424331,0.3069343368212382,0.4855553110440572,0.3047000616788864,0.593961775302887,0,1,0.0,0.1472114771604538
2270,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3188401758670807,0.4527424573898315,0.3153162697950999,0.4884577592213948,0.3086078464984894,0.5994783043861389,0,1,0.0,0.1467358469963073
2271,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3161791115999222,0.4469760209321975,0.3067379295825958,0.5399054884910583,0.2994263023138046,0.6105984449386597,0,1,0.0,0.1636224240064621
2272,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3134890645742416,0.4538436233997345,0.3075684607028961,0.5215207735697428,0.305662453174591,0.6119321584701538,0,1,0.0,0.1580885350704193
2273,rotate_down,0,0,0,0,0,1,1,0,0,0,0.3160885274410248,0.4345183372497558,0.3098115026950836,0.4953346749146779,0.3055850863456726,0.5968153476715088,0,1,0.0,0.1622970104217529
2274,rotate_down,0,0,0,0,0,1,1,1,1,1,0.8955216705799103,0.4962345659732818,0.8950154383977255,0.4595361252625783,0.8948466181755066,0.5872256755828857,0,1,0.0,0.0909911096096038
2275,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8955821394920349,0.4409593492746353,0.8773336807886759,0.5422540903091431,0.8833702504634857,0.5593182146549225,0,1,0.0,0.1183588653802871
2276,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8867080807685852,0.4141593724489212,0.8857385118802389,0.5015169183413187,0.8885690569877625,0.5713787972927094,0,1,0.0,0.1572194248437881
2277,rotate_down,0,0,0,0,0,1,1,0,0,0,0.8880010545253754,0.421920895576477,0.8871012131373087,0.5084895491600037,0.8904725015163422,0.5774482190608978,0,1,0.0,0.1555273234844207
2278,rotate_down,0,0,0,0,0,1,1,1,1,1,0.8978893756866455,0.4493492692708969,0.8927713831265768,0.4573515156904856,0.8942289650440216,0.5846837162971497,0,1,0.0,0.1353344470262527
2279,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6573929488658905,0.3381528854370117,0.6418974200884501,0.4352434376875559,0.6477896273136139,0.5680511891841888,0,1,0.0,0.2298983037471771
2280,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6644398272037506,0.3068619221448898,0.6571285525957743,0.4048744738101959,0.653727799654007,0.57662633061409,0,1,0.0,0.2697644084692001
2281,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6646348237991333,0.2840570360422134,0.6508347392082214,0.3926780819892883,0.6556409895420074,0.5772966146469116,0,1,0.0,0.2932395786046982
2282,rotate_down,0,0,0,0,0,1,1,0,0,0,0.6662933826446533,0.2883615493774414,0.6566922465960184,0.448478360970815,0.6654848754405975,0.5877030193805695,0,1,0.0,0.299341470003128
2283,rotate_down,0,0,0,0,0,1,1,0,0,0,0.657392293214798,0.3051628321409225,0.6376486817995707,0.5947905977567037,0.6464032232761383,0.5677824318408966,0,1,0.0,0.262619599699974
2284,rotate_down,0,0,0,0,0,0,0,0,0,0,0.6289592981338501,0.7188824117183685,0.6098361810048422,0.7063498695691427,0.6043164432048798,0.7473885715007782,0,1,0.0,0.0285061597824096
2285,rotate_down,0,1,1,1,1,0,1,1,1,0,0.5480878055095673,0.7218380272388458,0.550408403078715,0.6654054323832194,0.5642682015895844,0.6272610425949097,0,1,0.0,-0.0945769846439361
2286,rotate_down,0,0,0,0,0,1,1,0,0,0,0.5964835584163666,0.3666236698627472,0.5920389890670776,0.3587753673394521,0.5778681635856628,0.5903819799423218,0,1,0.0,0.2237583100795745
